epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
50,2604.34,0.98989,1.44215,0.48297,1.01428,0,0.95554,0.94782,0.97289,0.66435,0.95331,0.94576,0.97192,0.5805,1.12967,1.62013,0.47645,1.15882,0,0.000520548,0.000520548,0.000520548
51,2656.32,0.99854,1.44736,0.48055,1.01733,0,0.94598,0.95017,0.97007,0.6601,0.94508,0.94928,0.97047,0.57698,1.13384,1.62356,0.4846,1.16061,0,0.000505,0.000505,0.000505
52,2708.51,0.98827,1.43445,0.47127,1.01384,0,0.95207,0.94797,0.96866,0.6628,0.94902,0.94852,0.96934,0.58405,1.13047,1.65467,0.47678,1.15822,0,0.000489452,0.000489452,0.000489452
53,2760.34,0.98181,1.43393,0.47474,1.01489,0,0.94813,0.94638,0.96706,0.66045,0.94554,0.94682,0.96708,0.58315,1.1313,1.64281,0.47899,1.15867,0,0.000473919,0.000473919,0.000473919
54,2812.4,0.97754,1.43516,0.47343,1.01046,0,0.95291,0.94739,0.96836,0.65798,0.95268,0.9473,0.97055,0.58451,1.1378,1.64265,0.48342,1.16822,0,0.000458416,0.000458416,0.000458416
55,2864.25,0.96805,1.43177,0.45869,1.00918,0,0.94547,0.94609,0.96788,0.65784,0.9446,0.94492,0.96808,0.57942,1.14284,1.66377,0.48792,1.16616,0,0.00044296,0.00044296,0.00044296
56,2916.04,0.96561,1.4149,0.45563,1.00415,0,0.953,0.94541,0.96909,0.65956,0.95146,0.94497,0.96958,0.58322,1.13732,1.6246,0.48147,1.16212,0,0.000427565,0.000427565,0.000427565
57,2968.68,0.96047,1.42533,0.46224,0.99641,0,0.94393,0.94901,0.97077,0.6588,0.94054,0.94687,0.96843,0.58354,1.13691,1.65504,0.4889,1.16776,0,0.000412246,0.000412246,0.000412246
58,3020.99,0.96046,1.4153,0.46388,1.00195,0,0.9543,0.94639,0.97062,0.6634,0.95066,0.94659,0.9703,0.58009,1.13435,1.63653,0.47364,1.16936,0,0.000397019,0.000397019,0.000397019
59,3073.11,0.95555,1.40179,0.45111,0.99725,0,0.95165,0.93637,0.96834,0.65945,0.94078,0.94681,0.96943,0.5849,1.13802,1.6642,0.48163,1.17229,0,0.000381899,0.000381899,0.000381899
60,3124,0.94553,1.38831,0.44424,1.00546,0,0.9398,0.93668,0.96684,0.65073,0.94027,0.93665,0.96845,0.57267,1.14738,1.65202,0.50013,1.18043,0,0.000366899,0.000366899,0.000366899
61,3175.58,0.95041,1.40631,0.44728,1.0028,0,0.95167,0.93623,0.96757,0.65697,0.95172,0.93698,0.97002,0.58158,1.14783,1.65662,0.48093,1.17698,0,0.000352037,0.000352037,0.000352037
62,3228.05,0.93669,1.39173,0.44365,0.99036,0,0.94495,0.94388,0.9659,0.65607,0.94264,0.94266,0.96522,0.57324,1.14319,1.66352,0.487,1.1773,0,0.000337325,0.000337325,0.000337325
63,3279.63,0.94844,1.40526,0.44774,0.9959,0,0.9435,0.94266,0.9684,0.65975,0.93835,0.94495,0.96923,0.57833,1.13446,1.64681,0.48107,1.17234,0,0.000322778,0.000322778,0.000322778
64,3331.49,0.93336,1.38952,0.43392,0.99242,0,0.95044,0.93864,0.96226,0.65311,0.94803,0.94496,0.9665,0.58414,1.14483,1.68209,0.48488,1.17867,0,0.000308412,0.000308412,0.000308412
65,3383.34,0.92912,1.39112,0.43281,0.98489,0,0.94318,0.94213,0.96278,0.65373,0.94239,0.94434,0.96691,0.5796,1.14558,1.66881,0.48361,1.18478,0,0.000294239,0.000294239,0.000294239
66,3435.29,0.93201,1.39373,0.43244,0.98916,0,0.9335,0.94971,0.96698,0.65923,0.93346,0.95021,0.96803,0.58579,1.14264,1.66485,0.47796,1.17845,0,0.000280275,0.000280275,0.000280275
67,3487.01,0.92422,1.37648,0.44545,0.98889,0,0.94523,0.93792,0.96756,0.66013,0.94468,0.93779,0.967,0.58584,1.14719,1.68228,0.48413,1.1825,0,0.000266532,0.000266532,0.000266532
68,3538.37,0.92292,1.37391,0.42982,0.98918,0,0.94946,0.92794,0.96422,0.65306,0.94877,0.92752,0.96342,0.57939,1.14703,1.6683,0.49599,1.18457,0,0.000253024,0.000253024,0.000253024
69,3590.58,0.90767,1.35798,0.41937,0.97252,0,0.94179,0.95101,0.96715,0.65361,0.94318,0.94708,0.96655,0.57805,1.15284,1.6668,0.47249,1.18849,0,0.000239766,0.000239766,0.000239766
70,3642.25,0.90756,1.36263,0.41782,0.97503,0,0.94995,0.9405,0.96735,0.65274,0.94998,0.9406,0.96705,0.5788,1.15185,1.6803,0.47838,1.1862,0,0.000226769,0.000226769,0.000226769
71,3694.43,0.90655,1.36323,0.4145,0.97298,0,0.94528,0.94547,0.96617,0.6543,0.94315,0.94556,0.9667,0.57633,1.15026,1.67568,0.47719,1.18382,0,0.000214046,0.000214046,0.000214046
72,3746.43,0.90167,1.35253,0.41116,0.97093,0,0.94031,0.93853,0.96277,0.65194,0.93692,0.94589,0.96469,0.57757,1.15219,1.68667,0.48423,1.1911,0,0.000201611,0.000201611,0.000201611
73,3797.99,0.89839,1.36311,0.40158,0.98138,0,0.94666,0.94265,0.96303,0.65537,0.94531,0.94268,0.9645,0.58087,1.15263,1.68503,0.48134,1.19394,0,0.000189475,0.000189475,0.000189475
74,3850.36,0.90608,1.36005,0.40831,0.97742,0,0.94489,0.94424,0.96305,0.65099,0.94537,0.94484,0.96465,0.57404,1.15549,1.6723,0.48451,1.19731,0,0.000177651,0.000177651,0.000177651
75,3902.46,0.88803,1.3354,0.4025,0.96461,0,0.95233,0.93498,0.96175,0.65265,0.9494,0.93524,0.96129,0.5777,1.15423,1.68459,0.4793,1.19565,0,0.000166149,0.000166149,0.000166149
76,3954.21,0.89165,1.34745,0.40661,0.97382,0,0.95333,0.93822,0.9625,0.65284,0.95327,0.9393,0.9649,0.57407,1.15082,1.6884,0.47989,1.19307,0,0.000154982,0.000154982,0.000154982
77,4006.35,0.88021,1.33393,0.39983,0.96697,0,0.94922,0.93846,0.96164,0.65045,0.94804,0.93911,0.96237,0.57462,1.15357,1.70614,0.48523,1.19751,0,0.000144161,0.000144161,0.000144161
78,4057.34,0.87012,1.32634,0.3972,0.96936,0,0.94747,0.94053,0.96063,0.64876,0.94767,0.94093,0.96192,0.57618,1.15948,1.714,0.48453,1.20268,0,0.000133695,0.000133695,0.000133695
79,4108.8,0.87698,1.33462,0.39477,0.96218,0,0.94807,0.94506,0.96111,0.64905,0.94589,0.9432,0.95962,0.57063,1.15945,1.68648,0.48295,1.20171,0,0.000123596,0.000123596,0.000123596
80,4160.68,0.88124,1.3428,0.39726,0.96267,0,0.9458,0.94293,0.96019,0.65185,0.94305,0.94412,0.95872,0.57446,1.15476,1.71907,0.48109,1.20127,0,0.000113873,0.000113873,0.000113873
81,4212.42,0.86998,1.32727,0.39386,0.96932,0,0.95368,0.94056,0.96342,0.64995,0.95116,0.93812,0.96213,0.57923,1.15419,1.70674,0.48014,1.19828,0,0.000104537,0.000104537,0.000104537
82,4264.31,0.87463,1.33281,0.39441,0.9692,0,0.95332,0.94289,0.96261,0.65277,0.9511,0.94076,0.96101,0.57482,1.15449,1.71017,0.48221,1.19622,0,9.55951e-05,9.55951e-05,9.55951e-05
83,4315.42,0.87166,1.33219,0.39307,0.97115,0,0.95342,0.9404,0.96363,0.65332,0.95185,0.939,0.96372,0.57564,1.15045,1.70681,0.48052,1.19766,0,8.70577e-05,8.70577e-05,8.70577e-05
84,4366.56,0.86655,1.32921,0.38948,0.96993,0,0.9514,0.9378,0.96208,0.65262,0.94771,0.94029,0.96247,0.57435,1.15787,1.70113,0.47832,1.20526,0,7.89327e-05,7.89327e-05,7.89327e-05
85,4417.86,0.86306,1.32457,0.38719,0.95804,0,0.9492,0.94041,0.96218,0.65082,0.9428,0.94489,0.96156,0.57225,1.15639,1.7152,0.47967,1.20325,0,7.12282e-05,7.12282e-05,7.12282e-05
86,4469.62,0.84974,1.30859,0.38371,0.94966,0,0.95312,0.93922,0.96235,0.65083,0.95212,0.93891,0.96257,0.574,1.15558,1.717,0.47806,1.2059,0,6.39518e-05,6.39518e-05,6.39518e-05
87,4521.32,0.85272,1.30907,0.38033,0.95507,0,0.94902,0.93872,0.96307,0.65097,0.94639,0.939,0.96238,0.5743,1.15577,1.72048,0.47943,1.20471,0,5.71106e-05,5.71106e-05,5.71106e-05
